id;title;status;slug;menu_order;classe;chapitre;difficult;solve;annale;
2160;Logarithme - Bac ES/L Amérique du Nord 2014;active;fonctions-bac-es-amerique-nord-2014;3;tle-complementaire;NULL;2;NULL;bac-esl-amerique-du-nord-2014;15142030
2163;Suites - Bac ES/L Amérique du Nord 2014;active;suites-bac-es-amerique-nord-2014;8202001;tle-complementaire;tc-suites;2;en-attente-de-correction;bac-esl-amerique-du-nord-2014;15142040
2168;Probabilités - Bac ES/L Centres étrangers 2014;active;probabilites-bac-es-centres-etrangers-2014;1;tle-complementaire;NULL;2;NULL;bac-esl-centres-etrangers-2014;15142510
2170;Fonctions - Bac ES/L Centres étrangers 2014;active;fonctions-bac-es-centres-etrangers-2014;2;tle-complementaire;NULL;2;NULL;bac-esl-centres-etrangers-2014;15142520
2175;Suites et algorithmes - Bac ES/L Centres étrangers 2014;active;suites-bac-es-centres-etrangers-2014;8202001;tle-complementaire;tc-suites;2;en-attente-de-correction;bac-esl-centres-etrangers-2014;15142530
2178;QCM Probabilités - Bac ES/L Centres étrangers 2014;active;qcm-bac-es-centres-etrangers-2014;4;tle-complementaire;NULL;2;NULL;bac-esl-centres-etrangers-2014;15142540
2191;QCM - Bac ES/L Métropole 2014;active;qcm-bac-es-metropole-2014;1;tle-complementaire;NULL;2;exercice-corrige;bac-esl-metropole-2014;15145010
2194;Suites - Bac ES/L Métropole 2014;active;suites-bac-es-metropole-2014;8202001;tle-complementaire;tc-suites;2;exercice-corrige;bac-esl-metropole-2014;15145020
2202;Probabilités - Bac ES/L Métropole 2014;active;probabilites-bac-esl-metropole-2014;3;tle-complementaire;NULL;2;exercice-corrige;bac-esl-metropole-2014;15145030
2206;Fonctions - Bac ES/L Métropole 2014;active;fonctions-bac-es-metropole-2014;4;tle-complementaire;NULL;2;exercice-corrige;bac-esl-metropole-2014;15145040
2716;Matrices de transition (spé) - Bac ES Métropole 2014;active;matrices-spe-bac-es-metropole-2014;2;tle-complementaire;NULL;2;NULL;bac-esl-metropole-2014;15145050
2181;Probabilités - Bac ES/L Polynésie 2014;active;probabilites-bac-es-polynesie-2014;1;tle-complementaire;NULL;2;NULL;bac-esl-polynesie-2014;15145510
2183;Fonctions - Bac ES/L Polynésie 2014;active;fonctions-bac-es-polynesie-2014;2;tle-complementaire;NULL;2;NULL;bac-esl-polynesie-2014;15145520
2189;Fonctions-Intégrales - Bac ES/L Polynésie 2014;active;fonctions-integrales-bac-es-polynesie-2014;8502001;tle-complementaire;tc-integrales;2;en-attente-de-correction;bac-esl-polynesie-2014;15145530
2129;Vrai-Faux - Bac ES/L Pondichéry 2014;active;vrai-faux-bac-es-pondichery-2014;1;tle-complementaire;NULL;2;NULL;bac-esl-pondichery-2014;15146010
2132;Suites - Bac ES/L Pondichéry 2014;active;suites-bac-es-pondichery-2014;8202001;tle-complementaire;tc-suites;2;en-attente-de-correction;bac-esl-pondichery-2014;15146020
2135;Suites-Matrices (spé) - Bac ES/L Pondichéry 2014;active;suites-spe-bac-es-pondichery-2014;2;tle-complementaire;NULL;2;NULL;bac-esl-pondichery-2014;15146030
2142;Probabilités - Bac ES/L Pondichéry 2014;active;probabilites-bac-es-pondichery-2014;3;tle-complementaire;NULL;2;NULL;bac-esl-pondichery-2014;15146040
2145;Fonctions - Bac ES/L Pondichéry 2014;active;fonctions-bac-es-pondichery-2014;4;tle-complementaire;NULL;2;NULL;bac-esl-pondichery-2014;15146050
2185;Suites - Bac ES/L Polynésie 2014;active;suites-bac-es-polynesie-2014;8202001;tle-complementaire;tc-suites;2;en-attente-de-correction;bac-esl-pondichery-2014;15146060
3434;Probabilités - Bac ES/L Métropole 2015;active;probabilites-bac-esl-metropole-2015;1;tle-complementaire;NULL;2;NULL;bac-esl-metropole-2015;15155010
3443;Positions relatives - Bac ES/L Métropole 2015;active;fonction-logarithme-bac-esl-metropole-2015;7403001;terminale;te-logarithme-neperien;3;exercice-corrige;bac-esl-metropole-2015;15155020
3445;Fonction exponentielle - Bac ES/L Métropole 2015;active;fonction-exponentielle-bac-esl-metropole-2015;3;tle-complementaire;NULL;2;NULL;bac-esl-metropole-2015;15155030
6070;QCM – Bac ES/L Métropole Réunion 2016;active;qcm-bac-esl-metropole-reunion-2016;0;tle-complementaire;NULL;2;exercice-corrige;bac-esl-metropole-2016;15165010
6097;Suites – Bac ES/L Métropole Réunion 2016;active;suites-bac-esl-metropole-reunion-2016;8202001;tle-complementaire;tc-suites;2;en-attente-de-correction;bac-esl-metropole-2016;15165020
6109;Probabilités – Bac ES/L Métropole Réunion 2016;active;probabilites-bac-esl-metropole-reunion-2016;8701001;tle-complementaire;tc-lois-a-densite;1;en-attente-de-correction;bac-esl-metropole-2016;15165030
6116;Logarithme – Bac ES/L Métropole Réunion 2016;active;logarithme-bac-esl-metropole-reunion-2016;8602001;tle-complementaire;tc-logarithme-neperien;2;exercice-corrige;bac-esl-metropole-2016;15165040
10381;QCM - Bac blanc ES/L Sujet 1 - Maths-cours 2018;active;qcm-bac-blanc-es-l-sujet-1-maths-cours-2018;1;tle-complementaire;NULL;2;exercice-corrige;bac-blanc-es-l-sujet-1-maths-cours-2018;15181110
10394;Fonctions - Bac blanc ES/L Sujet 1 - Maths-cours 2018;active;fonctions-bac-blanc-es-l-sujet-1-maths-cours-2018;2;obsolete;1erees-derivees;2;exercice-corrige;bac-blanc-es-l-sujet-1-maths-cours-2018;15181120
